Datetime,Adj Close,Close,High,Low,Open,Volume,Datetime,Adj Close,Close,High,Low,Open,Volume,Datetime,Adj Close,Close,High,Low,Open,Volume,Datetime,Adj Close,Close,High,Low,Open,Volume,Datetime,Adj Close,Close,High,Low,Open,Volume
,META,META,META,META,META,META,,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
2026-04-06 13:30:00+00:00,577.2698974609375,577.2698974609375,582.7899780273438,576.4801025390625,577.2020263671875,1771883,2026-04-06 13:30:00+00:00,261.760009765625,261.760009765625,262.0199890136719,256.4800109863281,256.9624938964844,6693044,2026-04-06 13:30:00+00:00,212.30999755859375,212.30999755859375,212.9499969482422,210.00999450683594,210.30999755859375,5281769,2026-04-06 13:30:00+00:00,99.41000366210938,99.41000366210938,102.68499755859375,99.37999725341797,101.8499984741211,12711123,2026-04-06 13:30:00+00:00,296.7900085449219,296.7900085449219,297.19000244140625,293.79998779296875,294.70001220703125,2264691
2026-04-06 14:30:00+00:00,576.8300170898438,576.8300170898438,578.989990234375,573.5599975585938,577.3599853515625,1245016,2026-04-06 14:30:00+00:00,259.25,259.25,262.1600036621094,258.9700012207031,261.760009765625,3953211,2026-04-06 14:30:00+00:00,212.3800048828125,212.3800048828125,212.89999389648438,211.40499877929688,212.32000732421875,3066384,2026-04-06 14:30:00+00:00,98.55000305175781,98.55000305175781,99.41999816894531,98.5,99.41000366210938,4913669,2026-04-06 14:30:00+00:00,295.6000061035156,295.6000061035156,296.9049987792969,295.05999755859375,296.7799987792969,1259372
2026-04-06 15:30:00+00:00,579.1199951171875,579.1199951171875,579.3098754882812,576.02001953125,576.8499755859375,675882,2026-04-06 15:30:00+00:00,259.0400085449219,259.0400085449219,259.6300048828125,258.7099914550781,259.2301025390625,2022687,2026-04-06 15:30:00+00:00,212.77000427246094,212.77000427246094,212.8795928955078,212.02000427246094,212.3699951171875,1962693,2026-04-06 15:30:00+00:00,98.31500244140625,98.31500244140625,98.57990264892578,97.97000122070312,98.55500030517578,3369829,2026-04-06 15:30:00+00:00,296.7550048828125,296.7550048828125,296.8500061035156,295.1499938964844,295.6199951171875,748751
2026-04-06 16:30:00+00:00,577.0,577.0,580.2399291992188,575.2100219726562,579.125,835624,2026-04-06 16:30:00+00:00,258.7799987792969,258.7799987792969,259.55999755859375,257.9100036621094,259.0299987792969,2006161,2026-04-06 16:30:00+00:00,211.89999389648438,211.89999389648438,212.8249969482422,211.23049926757812,212.77999877929688,2933587,2026-04-06 16:30:00+00:00,98.96499633789062,98.96499633789062,99.16000366210938,98.2699966430664,98.31500244140625,3569622,2026-04-06 16:30:00+00:00,297.2250061035156,297.2250061035156,297.55499267578125,295.94500732421875,296.7799987792969,911646
2026-04-06 17:30:00+00:00,578.0700073242188,578.0700073242188,578.760009765625,575.0701293945312,577.0399780273438,639016,2026-04-06 17:30:00+00:00,259.2799987792969,259.2799987792969,259.3900146484375,257.8500061035156,258.7900085449219,2071173,2026-04-06 17:30:00+00:00,212.02499389648438,212.02499389648438,212.2700958251953,211.17999267578125,211.89999389648438,2284147,2026-04-06 17:30:00+00:00,99.00499725341797,99.00499725341797,99.0999984741211,98.70999908447266,98.95999908447266,2378781,2026-04-06 17:30:00+00:00,298.17999267578125,298.17999267578125,298.42498779296875,296.4700012207031,297.2099914550781,802286
2026-04-06 18:30:00+00:00,576.8300170898438,576.8300170898438,578.6099853515625,576.6300048828125,578.1400146484375,537339,2026-04-06 18:30:00+00:00,258.2499084472656,258.2499084472656,259.3699035644531,258.0199890136719,259.28009033203125,2221241,2026-04-06 18:30:00+00:00,212.22000122070312,212.22000122070312,212.53680419921875,212.0,212.02999877929688,1966790,2026-04-06 18:30:00+00:00,98.67500305175781,98.67500305175781,99.08999633789062,98.5999984741211,99.00499725341797,2164545,2026-04-06 18:30:00+00:00,297.8699951171875,297.8699951171875,298.4110107421875,297.7799987792969,298.18499755859375,771051
2026-04-06 19:30:00+00:00,573.02001953125,573.02001953125,577.0800170898438,572.4450073242188,576.844970703125,1677283,2026-04-06 19:30:00+00:00,258.8869934082031,258.8869934082031,259.07501220703125,258.1300048828125,258.2300109863281,2757592,2026-04-06 19:30:00+00:00,212.7899932861328,212.7899932861328,212.86000061035156,212.1649932861328,212.1999969482422,2947191,2026-04-06 19:30:00+00:00,98.97000122070312,98.97000122070312,98.98999786376953,98.61000061035156,98.67500305175781,3268223,2026-04-06 19:30:00+00:00,297.7200012207031,297.7200012207031,298.04998779296875,297.2699890136719,297.8699951171875,964487
2026-04-07 13:30:00+00:00,569.9349975585938,569.9349975585938,572.2999267578125,565.6099853515625,570.3800048828125,2136398,2026-04-07 13:30:00+00:00,247.6699981689453,247.6699981689453,254.79989624023438,247.57000732421875,254.72000122070312,13859963,2026-04-07 13:30:00+00:00,210.59010314941406,210.59010314941406,212.5,209.6403045654297,211.21499633789062,6277121,2026-04-07 13:30:00+00:00,99.04000091552734,99.04000091552734,99.87000274658203,98.44000244140625,99.25,6127167,2026-04-07 13:30:00+00:00,298.4200134277344,298.4200134277344,301.0799865722656,295.42999267578125,300.1499938964844,4477491
2026-04-07 14:30:00+00:00,566.6799926757812,566.6799926757812,570.4400024414062,564.760009765625,570.0349731445312,1027713,2026-04-07 14:30:00+00:00,247.82000732421875,247.82000732421875,248.19000244140625,245.6999969482422,247.6649932861328,8526234,2026-04-07 14:30:00+00:00,210.16000366210938,210.16000366210938,210.77999877929688,209.0800018310547,210.56500244140625,2850372,2026-04-07 14:30:00+00:00,98.88999938964844,98.88999938964844,99.12000274658203,98.4800033569336,99.03500366210938,2630498,2026-04-07 14:30:00+00:00,298.8900146484375,298.8900146484375,299.239990234375,297.0899963378906,298.29998779296875,1980843
2026-04-07 15:30:00+00:00,569.0050048828125,569.0050048828125,570.1799926757812,565.760009765625,566.9099731445312,808164,2026-04-07 15:30:00+00:00,250.1699981689453,250.1699981689453,250.28990173339844,247.39999389648438,247.82000732421875,6863002,2026-04-07 15:30:00+00:00,211.69000244140625,211.69000244140625,212.25,210.08999633789062,210.17999267578125,2371937,2026-04-07 15:30:00+00:00,98.93499755859375,98.93499755859375,99.41999816894531,98.72000122070312,98.88999938964844,1981398,2026-04-07 15:30:00+00:00,301.04998779296875,301.04998779296875,301.3500061035156,298.3500061035156,298.8800964355469,1550182
2026-04-07 16:30:00+00:00,568.2999877929688,568.2999877929688,570.5,567.5501098632812,569.0050048828125,731881,2026-04-07 16:30:00+00:00,251.5850067138672,251.5850067138672,253.38999938964844,249.66009521484375,250.1699981689453,8239350,2026-04-07 16:30:00+00:00,212.02000427246094,212.02000427246094,212.23989868164062,211.41000366210938,211.63999938964844,1932658,2026-04-07 16:30:00+00:00,98.72029876708984,98.72029876708984,99.04000091552734,98.54000091552734,98.93000030517578,2075333,2026-04-07 16:30:00+00:00,300.8299865722656,300.8299865722656,301.4100036621094,300.5150146484375,301.0199890136719,1069303
2026-04-07 17:30:00+00:00,568.7899780273438,568.7899780273438,571.6900024414062,568.219970703125,568.4000244140625,722998,2026-04-07 17:30:00+00:00,251.32000732421875,251.32000732421875,252.7899932861328,251.2899932861328,251.61500549316406,3425924,2026-04-07 17:30:00+00:00,212.41000366210938,212.41000366210938,213.14999389648438,211.9949951171875,212.02999877929688,2170226,2026-04-07 17:30:00+00:00,98.58999633789062,98.58999633789062,99.06999969482422,98.57499694824219,98.7249984741211,1550377,2026-04-07 17:30:00+00:00,301.1300048828125,301.1300048828125,302.2900085449219,300.6099853515625,300.80999755859375,1008539
2026-04-07 18:30:00+00:00,569.27001953125,569.27001953125,571.2449951171875,565.5,568.8350219726562,917678,2026-04-07 18:30:00+00:00,251.9550018310547,251.9550018310547,252.5,250.1199951171875,251.3300018310547,4257297,2026-04-07 18:30:00+00:00,212.5800018310547,212.5800018310547,213.39999389648438,211.27000427246094,212.44500732421875,3219591,2026-04-07 18:30:00+00:00,98.48999786376953,98.48999786376953,98.91999816894531,98.25,98.58999633789062,2338143,2026-04-07 18:30:00+00:00,300.8299865722656,300.8299865722656,301.54998779296875,299.5376892089844,301.1300048828125,1591674
