Datetime,Close,High,Low,Open,Volume,Datetime,Close,High,Low,Open,Volume,Datetime,Close,High,Low,Open,Volume,Datetime,Close,High,Low,Open,Volume,Datetime,Close,High,Low,Open,Volume
,META,META,META,META,META,,AAPL,AAPL,AAPL,AAPL,AAPL,,AMZN,AMZN,AMZN,AMZN,AMZN,,NFLX,NFLX,NFLX,NFLX,NFLX,,GOOG,GOOG,GOOG,GOOG,GOOG
2025-11-03 14:30:00+00:00,648.506591796875,659.3298950195312,647.2100219726562,656.0,6069693,2025-11-03 14:30:00+00:00,267.6300048828125,270.7799987792969,266.25,270.4200134277344,10223517,2025-11-03 14:30:00+00:00,255.33999633789062,258.6000061035156,254.5574951171875,255.63999938964844,26213930,2025-11-03 14:30:00+00:00,1099.6817626953125,1133.5,1098.949951171875,1133.0999755859375,989317,2025-11-03 14:30:00+00:00,283.1099853515625,283.3500061035156,280.375,282.4700012207031,4971493
2025-11-03 15:30:00+00:00,649.875,652.5800170898438,646.0126953125,648.5050048828125,2263349,2025-11-03 15:30:00+00:00,266.6400146484375,268.2799987792969,266.5,267.6400146484375,3102546,2025-11-03 15:30:00+00:00,255.4600067138672,256.8599853515625,254.99000549316406,255.33999633789062,8062082,2025-11-03 15:30:00+00:00,1080.43994140625,1103.48095703125,1079.3199462890625,1099.532470703125,785387,2025-11-03 15:30:00+00:00,282.94000244140625,283.8800048828125,281.80999755859375,283.0799865722656,1577709
2025-11-03 16:30:00+00:00,650.1699829101562,653.0,649.27001953125,649.8499755859375,1443661,2025-11-03 16:30:00+00:00,267.5350036621094,268.1499938964844,266.5223083496094,266.659912109375,2821699,2025-11-03 16:30:00+00:00,256.01031494140625,256.44000244140625,253.89999389648438,255.4550018310547,5726412,2025-11-03 16:30:00+00:00,1089.8499755859375,1089.989990234375,1075.1500244140625,1079.9599609375,595383,2025-11-03 16:30:00+00:00,282.8399963378906,284.1000061035156,282.739990234375,282.9700012207031,1006362
2025-11-03 17:30:00+00:00,644.1400146484375,650.9299926757812,643.0,650.1699829101562,2972799,2025-11-03 17:30:00+00:00,267.6780090332031,268.0,267.25,267.5199890136719,2034109,2025-11-03 17:30:00+00:00,256.510009765625,257.1700134277344,255.8135986328125,256.0262145996094,4362482,2025-11-03 17:30:00+00:00,1093.52001953125,1094.6700439453125,1088.6800537109375,1089.7049560546875,310840,2025-11-03 17:30:00+00:00,282.7099914550781,283.67999267578125,282.3450012207031,282.75,897827
2025-11-03 18:30:00+00:00,644.4600219726562,646.0,641.5599975585938,644.0501098632812,2232166,2025-11-03 18:30:00+00:00,267.30999755859375,268.6199951171875,267.30999755859375,267.70989990234375,2075268,2025-11-03 18:30:00+00:00,255.06500244140625,256.5849914550781,254.72000122070312,256.510009765625,3903743,2025-11-03 18:30:00+00:00,1095.800048828125,1096.8399658203125,1092.508056640625,1093.8099365234375,261430,2025-11-03 18:30:00+00:00,283.29998779296875,283.875,282.56500244140625,282.7049865722656,1014491
2025-11-03 19:30:00+00:00,642.3699951171875,646.280029296875,641.7700805664062,644.4600219726562,1730255,2025-11-03 19:30:00+00:00,267.6199951171875,267.7900085449219,266.9100036621094,267.32000732421875,2243434,2025-11-03 19:30:00+00:00,254.8699951171875,256.0299987792969,254.07000732421875,255.06500244140625,4161677,2025-11-03 19:30:00+00:00,1099.25,1099.699951171875,1092.6600341796875,1095.52001953125,238988,2025-11-03 19:30:00+00:00,285.1099853515625,285.94000244140625,283.2900085449219,283.29998779296875,1353842
2025-11-03 20:30:00+00:00,637.719970703125,642.760009765625,636.2100219726562,642.3699951171875,2642789,2025-11-03 20:30:00+00:00,269.05999755859375,269.1099853515625,267.4599914550781,267.6300048828125,3383138,2025-11-03 20:30:00+00:00,254.05999755859375,255.27999877929688,252.89999389648438,254.8699951171875,4190135,2025-11-03 20:30:00+00:00,1099.5699462890625,1100.300048828125,1096.074951171875,1099.239990234375,281103,2025-11-03 20:30:00+00:00,284.25,285.1679992675781,283.6499938964844,285.1400146484375,1168232
2025-11-04 14:30:00+00:00,635.3557739257812,641.7399291992188,626.469970703125,628.0399780273438,5424088,2025-11-04 14:30:00+00:00,268.42999267578125,269.5899963378906,267.614990234375,268.24249267578125,9645778,2025-11-04 14:30:00+00:00,253.38999938964844,255.44000244140625,249.6501007080078,250.3800048828125,10799520,2025-11-04 14:30:00+00:00,1098.31396484375,1104.599853515625,1089.219970703125,1099.2850341796875,626099,2025-11-04 14:30:00+00:00,280.2699890136719,281.07501220703125,276.875,277.07000732421875,3778209
2025-11-04 15:30:00+00:00,631.97998046875,638.7999877929688,628.3900756835938,635.27001953125,2766300,2025-11-04 15:30:00+00:00,270.6099853515625,271.0,267.7099914550781,268.42999267578125,3278354,2025-11-04 15:30:00+00:00,252.44009399414062,253.56500244140625,251.8800048828125,253.3699951171875,4292114,2025-11-04 15:30:00+00:00,1092.5550537109375,1103.5,1091.699951171875,1098.2099609375,300006,2025-11-04 15:30:00+00:00,279.3760986328125,281.8335876464844,279.13739013671875,280.2204895019531,1285824
2025-11-04 16:30:00+00:00,631.5449829101562,633.4500122070312,630.3300170898438,631.9920043945312,1369778,2025-11-04 16:30:00+00:00,270.010009765625,271.4859924316406,268.9800109863281,270.6400146484375,3846826,2025-11-04 16:30:00+00:00,250.9550018310547,252.53509521484375,250.3300018310547,252.42999267578125,2839567,2025-11-04 16:30:00+00:00,1095.0699462890625,1096.719970703125,1091.1099853515625,1092.3599853515625,226854,2025-11-04 16:30:00+00:00,278.25,279.54998779296875,277.5924987792969,279.2300109863281,1038904
2025-11-04 17:30:00+00:00,629.4317016601562,631.7449951171875,627.5999755859375,631.5250244140625,1455797,2025-11-04 17:30:00+00:00,270.6383972167969,270.92999267578125,269.8900146484375,270.0050048828125,2072453,2025-11-04 17:30:00+00:00,249.8699951171875,251.25,249.5,250.92999267578125,2541109,2025-11-04 17:30:00+00:00,1092.719970703125,1095.7740478515625,1090.762451171875,1095.010009765625,172470,2025-11-04 17:30:00+00:00,277.45001220703125,278.4100036621094,277.2699890136719,278.239990234375,932536
