Price,Datetime,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,,META,META,META,META,META,,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG
0,2025-10-20 13:30:00+00:00,731.72998046875,732.27001953125,720.1799926757812,721.25,2719056.0,META,,,,,,,,,,,,,,,,,,,,
1,2025-10-20 14:30:00+00:00,729.9299926757812,732.3699951171875,728.8099975585938,731.6900024414062,1093441.0,META,,,,,,,,,,,,,,,,,,,,
2,2025-10-20 15:30:00+00:00,731.1300048828125,731.7088012695312,728.5,730.0999755859375,864571.0,META,,,,,,,,,,,,,,,,,,,,
3,2025-10-20 16:30:00+00:00,732.0,732.5499877929688,729.8300170898438,731.1099853515625,627716.0,META,,,,,,,,,,,,,,,,,,,,
4,2025-10-20 17:30:00+00:00,733.1500244140625,733.5598754882812,731.9000244140625,732.125,742534.0,META,,,,,,,,,,,,,,,,,,,,
5,2025-10-20 18:30:00+00:00,733.02001953125,733.77001953125,731.3300170898438,733.1400146484375,738067.0,META,,,,,,,,,,,,,,,,,,,,
6,2025-10-20 19:30:00+00:00,732.3900146484375,733.0750122070312,731.52001953125,733.0750122070312,949556.0,META,,,,,,,,,,,,,,,,,,,,
7,2025-10-21 13:30:00+00:00,732.7949829101562,738.5,731.280029296875,736.260009765625,2027490.0,META,,,,,,,,,,,,,,,,,,,,
8,2025-10-21 14:30:00+00:00,730.3101196289062,733.7999877929688,728.7999877929688,732.780029296875,1056245.0,META,,,,,,,,,,,,,,,,,,,,
9,2025-10-21 15:30:00+00:00,733.7349853515625,734.489990234375,729.22900390625,730.4099731445312,837249.0,META,,,,,,,,,,,,,,,,,,,,
10,2025-10-21 16:30:00+00:00,732.6834716796875,734.75,729.780029296875,733.8699951171875,891683.0,META,,,,,,,,,,,,,,,,,,,,
11,2025-10-21 17:30:00+00:00,732.989990234375,733.3300170898438,731.6959838867188,732.8150024414062,420310.0,META,,,,,,,,,,,,,,,,,,,,
12,2025-10-21 18:30:00+00:00,733.885009765625,734.1900024414062,732.010009765625,732.9099731445312,588085.0,META,,,,,,,,,,,,,,,,,,,,
13,2025-10-21 19:30:00+00:00,733.2490234375,734.25,732.510009765625,733.6300048828125,653053.0,META,,,,,,,,,,,,,,,,,,,,
14,2025-10-22 13:30:00+00:00,732.3400268554688,740.5900268554688,731.0590209960938,733.4000244140625,2161926.0,META,,,,,,,,,,,,,,,,,,,,
15,2025-10-22 14:30:00+00:00,729.6300048828125,736.6334838867188,729.6300048828125,732.5499877929688,1388235.0,META,,,,,,,,,,,,,,,,,,,,
16,2025-10-22 15:30:00+00:00,730.02001953125,733.4600219726562,728.3400268554688,729.6599731445312,645997.0,META,,,,,,,,,,,,,,,,,,,,
17,2025-10-22 16:30:00+00:00,727.1699829101562,730.7100219726562,724.8699951171875,730.510009765625,682730.0,META,,,,,,,,,,,,,,,,,,,,
18,2025-10-22 17:30:00+00:00,728.9276733398438,729.1799926757812,724.030029296875,726.6400146484375,629279.0,META,,,,,,,,,,,,,,,,,,,,
19,2025-10-22 18:30:00+00:00,732.510009765625,732.8400268554688,728.5,728.9450073242188,849802.0,META,,,,,,,,,,,,,,,,,,,,
20,2025-10-22 19:30:00+00:00,733.2999877929688,733.7000122070312,732.25,732.510009765625,723970.0,META,,,,,,,,,,,,,,,,,,,,
21,2025-10-23 13:30:00+00:00,739.5,742.4099731445312,733.47998046875,734.7000122070312,2157239.0,META,,,,,,,,,,,,,,,,,,,,
22,2025-10-23 14:30:00+00:00,740.5399780273438,740.989990234375,737.780029296875,739.77001953125,945101.0,META,,,,,,,,,,,,,,,,,,,,
23,2025-10-23 15:30:00+00:00,738.52001953125,742.0800170898438,737.717529296875,740.760009765625,891092.0,META,,,,,,,,,,,,,,,,,,,,
24,2025-10-23 16:30:00+00:00,736.2000122070312,739.2426147460938,735.8800048828125,738.39501953125,659913.0,META,,,,,,,,,,,,,,,,,,,,
25,2025-10-23 17:30:00+00:00,735.22998046875,738.1099853515625,734.739990234375,736.0999755859375,1555111.0,META,,,,,,,,,,,,,,,,,,,,
26,2025-10-23 18:30:00+00:00,734.5250244140625,735.8499755859375,733.10498046875,735.2899780273438,848857.0,META,,,,,,,,,,,,,,,,,,,,
27,2025-10-23 19:30:00+00:00,734.0,735.3599853515625,733.5,734.5449829101562,1030315.0,META,,,,,,,,,,,,,,,,,,,,
28,2025-10-24 13:30:00+00:00,736.2949829101562,739.280029296875,732.2000122070312,737.3200073242188,2288601.0,META,,,,,,,,,,,,,,,,,,,,
29,2025-10-24 14:30:00+00:00,733.6500244140625,737.27001953125,731.1500244140625,736.0999755859375,1244080.0,META,,,,,,,,,,,,,,,,,,,,
30,2025-10-24 15:30:00+00:00,734.2050170898438,734.8087158203125,731.580078125,733.7899780273438,1087570.0,META,,,,,,,,,,,,,,,,,,,,
31,2025-10-24 16:30:00+00:00,737.34228515625,737.6699829101562,734.3511962890625,734.3511962890625,740572.0,META,,,,,,,,,,,,,,,,,,,,
32,2025-10-24 17:30:00+00:00,738.531005859375,738.9099731445312,736.6900024414062,737.4500122070312,714355.0,META,,,,,,,,,,,,,,,,,,,,
33,2025-10-24 18:30:00+00:00,739.3300170898438,741.2100219726562,738.280029296875,738.5850219726562,1052833.0,META,,,,,,,,,,,,,,,,,,,,
34,2025-10-24 19:30:00+00:00,738.510009765625,739.60498046875,736.6599731445312,739.2000122070312,922328.0,META,,,,,,,,,,,,,,,,,,,,
0,2025-10-20 13:30:00+00:00,,,,,,AAPL,259.5050048828125,259.8699951171875,255.6300048828125,255.88499450683594,19526731.0,,,,,,,,,,,,,,,
1,2025-10-20 14:30:00+00:00,,,,,,AAPL,262.57000732421875,263.54998779296875,259.07000732421875,259.489990234375,20690049.0,,,,,,,,,,,,,,,
2,2025-10-20 15:30:00+00:00,,,,,,AAPL,263.489990234375,264.375,262.4175109863281,262.54998779296875,13764809.0,,,,,,,,,,,,,,,
3,2025-10-20 16:30:00+00:00,,,,,,AAPL,263.1650085449219,264.2099914550781,262.6499938964844,263.4800109863281,8089517.0,,,,,,,,,,,,,,,
4,2025-10-20 17:30:00+00:00,,,,,,AAPL,263.7300109863281,263.8299865722656,262.7900085449219,263.17999267578125,4756799.0,,,,,,,,,,,,,,,
5,2025-10-20 18:30:00+00:00,,,,,,AAPL,263.4200134277344,263.80999755859375,263.0400085449219,263.739990234375,5423277.0,,,,,,,,,,,,,,,
6,2025-10-20 19:30:00+00:00,,,,,,AAPL,262.2300109863281,263.8500061035156,261.92999267578125,263.44000244140625,8021467.0,,,,,,,,,,,,,,,
7,2025-10-21 13:30:00+00:00,,,,,,AAPL,263.4999084472656,265.2900085449219,261.8800048828125,261.8800048828125,17003580.0,,,,,,,,,,,,,,,
8,2025-10-21 14:30:00+00:00,,,,,,AAPL,263.6619873046875,263.8299865722656,262.510009765625,263.4599914550781,4721265.0,,,,,,,,,,,,,,,
9,2025-10-21 15:30:00+00:00,,,,,,AAPL,263.1700134277344,264.5350036621094,263.0801086425781,263.6700134277344,5514253.0,,,,,,,,,,,,,,,
10,2025-10-21 16:30:00+00:00,,,,,,AAPL,263.3265075683594,263.6799011230469,262.8475036621094,263.1600036621094,2671606.0,,,,,,,,,,,,,,,
11,2025-10-21 17:30:00+00:00,,,,,,AAPL,263.44989013671875,264.04998779296875,262.1499938964844,263.3258056640625,3718095.0,,,,,,,,,,,,,,,
12,2025-10-21 18:30:00+00:00,,,,,,AAPL,263.0849914550781,263.7381896972656,262.95001220703125,263.4495849609375,3430980.0,,,,,,,,,,,,,,,
13,2025-10-21 19:30:00+00:00,,,,,,AAPL,262.8399963378906,263.2099914550781,262.4700012207031,263.0950012207031,3493018.0,,,,,,,,,,,,,,,
14,2025-10-22 13:30:00+00:00,,,,,,AAPL,260.0498962402344,262.8500061035156,259.7200012207031,262.7900085449219,9155667.0,,,,,,,,,,,,,,,
15,2025-10-22 14:30:00+00:00,,,,,,AAPL,258.4299011230469,261.1300048828125,257.6401062011719,260.0,5930214.0,,,,,,,,,,,,,,,
16,2025-10-22 15:30:00+00:00,,,,,,AAPL,258.54998779296875,259.489990234375,258.04998779296875,258.45001220703125,3763921.0,,,,,,,,,,,,,,,
17,2025-10-22 16:30:00+00:00,,,,,,AAPL,256.69140625,258.7699890136719,256.29998779296875,258.54998779296875,4679141.0,,,,,,,,,,,,,,,
18,2025-10-22 17:30:00+00:00,,,,,,AAPL,256.5509948730469,257.0798034667969,255.42999267578125,256.6700134277344,4221043.0,,,,,,,,,,,,,,,
19,2025-10-22 18:30:00+00:00,,,,,,AAPL,257.510009765625,257.67999267578125,256.1400146484375,256.54998779296875,3195141.0,,,,,,,,,,,,,,,
20,2025-10-22 19:30:00+00:00,,,,,,AAPL,258.42999267578125,258.80999755859375,257.42999267578125,257.5199890136719,4263522.0,,,,,,,,,,,,,,,
21,2025-10-23 13:30:00+00:00,,,,,,AAPL,259.4798889160156,260.1799011230469,258.0101013183594,259.8900146484375,6251007.0,,,,,,,,,,,,,,,
22,2025-10-23 14:30:00+00:00,,,,,,AAPL,259.3999938964844,259.67999267578125,258.7300109863281,259.4200134277344,2852790.0,,,,,,,,,,,,,,,
23,2025-10-23 15:30:00+00:00,,,,,,AAPL,260.0400085449219,260.6199035644531,259.0834045410156,259.3999938964844,3168121.0,,,,,,,,,,,,,,,
24,2025-10-23 16:30:00+00:00,,,,,,AAPL,259.8599853515625,260.54998779296875,259.5199890136719,260.04998779296875,2574209.0,,,,,,,,,,,,,,,
